
 3,147,124,159, 71, 99,305, 75,   2287
 5,150,127,163, 72, 99,355, 85,  45822
10,163,138,178, 84,131,377,183, 307283
15,175,154,200, 97,183,401,381, 704786
20,179,156,202, 98,184,408,385,1211445
25,183,158,204, 99,186,415,389,1718104
30,187,160,206,100,188,422,393,2224764
35,191,163,209,102,189,429,397,2731423
40,195,165,211,103,191,436,401,3238082
45,199,167,213,104,193,443,405,3744742
50,203,170,216,106,194,450,409,4251401
55,207,172,218,107,196,457,413,4758061
60,211,174,220,108,198,464,417,5264720
65,215,177,223,110,200,471,421,5771379
70,220,179,227,115,207,476,433,6278039
75,226,182,232,121,215,482,446,6784698
80,232,185,236,127,223,488,459,7291357
85,237,188,241,132,231,493,472,7798017
90,243,191,245,138,239,499,485,8304676
95,249,194,250,144,247,505,498,8811336
99,255,197,255,150,255,511,511,9216663
