
 1, 52, 8, 50, 20,  25, 60, 0,    0
 5, 65, 11, 52, 20,  30, 80, 0,    692
 10, 84, 16, 57, 25,  30, 114, 0,   2877
 15, 91, 21, 62, 31, 40, 130, 0,   7790
 20, 98, 26, 67, 43, 52, 146, 0,  42549
 25, 118, 31, 80, 48, 58, 208, 0,  117207
 30, 135, 32, 90, 53, 64, 272, 0, 234107
 35, 151, 32, 101, 58, 67, 315, 0, 417113
 40, 163, 32, 105, 63, 70, 356, 0, 703613
 45, 179, 37, 106, 68, 73, 397, 0, 1142995
 50, 190, 42, 106, 74, 80, 412, 0, 1629644
 55, 202, 42, 106, 80, 87, 430, 0, 2116293
 60, 214, 42, 106, 86, 95, 445, 0, 2602943
 65, 222, 42, 106, 89, 99, 456, 0, 3089592
 70, 230, 46, 106, 92, 103, 466, 0, 3576241
 75, 238, 46, 130, 95, 108, 478, 0, 4062891
 80, 246, 48, 136, 97, 112, 489, 0, 4549540
 85, 254, 48, 141, 97, 116, 500, 0, 5036190
 90, 255, 48, 141, 97, 121, 513, 0, 5522839
 95, 255, 50, 146, 98, 125, 524, 0, 6009488
 99, 255, 51, 151, 102, 130, 534, 0, 6398808
