
1,25,10,12,13,16,50,8,0
2,26,11,12,14,17,53,11,18
3,27,12,13,16,18,56,15,96
4,28,13,14,17,19,59,18,450
5,29,15,15,19,21,62,22,825
6,30,17,15,19,21,66,25,1226
7,31,19,16,20,23,70,28,1654
8,32,21,16,21,24,75,31,2109
9,33,23,17,22,26,79,34,2595
10,35,25,18,23,28,84,38,3294
11,37,27,18,25,28,87,42,4299
12,39,29,19,27,28,90,46,5755
13,42,31,20,29,29,93,50,7861
14,44,33,21,31,29,96,54,10896
15,47,36,22,33,30,100,58,14407
16,49,39,23,35,33,104,59,18467
17,51,42,24,37,36,108,60,23163
18,53,45,25,39,40,113,61,28593
19,55,48,26,41,43,117,62,34874
20,58,52,28,43,47,122,64,41942
21,59,56,30,45,52,127,65,49894
22,61,61,33,47,57,133,66,58841
23,63,66,36,49,62,139,67,68908
24,64,70,39,52,68,145,68,80235
25,66,75,42,54,73,151,69,92980
26,68,80,44,56,78,156,70,107321
27,69,84,47,59,84,162,71,123457
28,71,89,50,61,89,168,72,141611
29,73,94,53,63,94,174,73,162036
30,75,99,56,66,100,180,74,183738
31,78,104,59,68,103,182,74,206796
32,82,109,62,71,107,184,75,231296
33,86,114,66,74,110,186,76,257328
34,90,119,69,77,114,188,77,284987
35,93,124,72,80,117,190,78,314375
36,97,129,76,83,121,192,79,345601
37,101,134,79,85,124,194,80,378780
38,105,139,82,88,128,196,81,414034
39,108,144,86,91,131,198,82,451491
40,112,149,89,94,135,200,83,491291
41,116,154,92,97,138,202,83,533580
42,120,159,96,100,142,204,84,578513
43,123,164,99,103,145,206,85,626254
44,127,169,102,105,149,208,86,676981
45,131,174,106,108,152,210,87,730878
46,135,179,109,111,156,212,88,788144
47,138,184,112,114,159,214,89,848991
48,142,189,116,117,163,216,90,913642
49,146,194,119,120,166,218,91,982335
50,150,200,123,123,170,220,92,1051028
